date,optimizer,paper_title,paper_url,code_url,notes,origin
2025-06,FedCurv,Blockchain-Enabled Privacy-Preserving Second-Order Federated Edge Learning in Personalized Healthcare,https://arxiv.org/abs/2506.00416,,Improves optimization under federated heterogeneity and client drift with curvature-aware client updates.,APRIL-AIGC/Awesome-Optimizer
2025-06,DAT-SGD,Enhancing Parallelism in Decentralized Stochastic Convex Optimization,https://arxiv.org/abs/2506.00961,,Reduces synchronization or communication overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-06,ADAACT,AN ADAPTIVE METHOD STABILIZING ACTIVATIONS FOR ENHANCED GENERALIZATION,https://arxiv.org/abs/2506.08353,,Stabilizes activations to improve generalization with neuron-level adaptive updates.,APRIL-AIGC/Awesome-Optimizer
2025-05,VRAdam,A Physics-Inspired Optimizer: Velocity Regularized Adam,https://arxiv.org/abs/2505.13196,,Speeds up optimization with refined momentum dynamics through damping-aware momentum.,APRIL-AIGC/Awesome-Optimizer
2025-05,VAMO,VAMO: Efficient Large-Scale Nonconvex Optimization via Adaptive Zeroth Order Variance Reduction,https://arxiv.org/abs/2505.13954,,Enables more efficient gradient-free optimization.,APRIL-AIGC/Awesome-Optimizer
2025-05,SUMO,SUMO: Subspace-Aware Moment-Orthogonalization for Accelerating Memory-Efficient LLM Training,https://arxiv.org/abs/2505.24749,,Reduces optimizer-state or training memory overhead through structured or orthogonalized updates.,APRIL-AIGC/Awesome-Optimizer
2025-05,SKA-SGD,STREAMING KRYLOV-ACCELERATED STOCHASTIC GRADIENT DESCENT,https://arxiv.org/abs/2505.07046,,Improves optimization on sharp or ill-conditioned loss landscapes through curvature-aware landscape exploration.,APRIL-AIGC/Awesome-Optimizer
2025-05,RaCO-DP,Private Rate-Constrained Optimization with Applications to Fair Learning,https://arxiv.org/abs/2505.22703,,Improves privacy-preserving training while accounting for privacy noise.,APRIL-AIGC/Awesome-Optimizer
2025-05,QZO,Fine-tuning Quantized Neural Networks with Zeroth-order Optimization,https://arxiv.org/abs/2505.13430,,Enables more efficient gradient-free optimization with quantized gradient-free updates.,APRIL-AIGC/Awesome-Optimizer
2025-05,LightSAM,LightSAM: Parameter-Agnostic Sharpness-Aware Minimization,https://arxiv.org/abs/2505.24399,,Targets flatter solutions and stronger generalization through SAM-style updates.,APRIL-AIGC/Awesome-Optimizer
2025-05,Kuramoto-FedAvg,Kuramoto-FedAvg: Using Synchronization Dynamics to Improve Federated Learning Optimization under Statistical Heterogeneity,https://arxiv.org/abs/2505.19605,,Improves optimization under federated heterogeneity and client drift with momentum-aware client aggregation.,APRIL-AIGC/Awesome-Optimizer
2025-05,KO,KO: Kinetics-inspired Neural Optimizer with PDE Simulation Approaches,https://arxiv.org/abs/2505.14777,,Automates update-rule design to improve transfer or tuning through automatically discovered update rules.,APRIL-AIGC/Awesome-Optimizer
2025-05,KerZOO,KerZOO: Kernel Function Informed Zeroth-Order Optimization for Accurate and Accelerated LLM Fine-Tuning,https://arxiv.org/abs/2505.18886,,Enables more efficient gradient-free optimization with lower memory overhead at inference time.,APRIL-AIGC/Awesome-Optimizer
2025-05,DEC-LOC,DES-LOC: Desynced Low Communication Adaptive Optimizers for Training Foundation Models,https://arxiv.org/abs/2505.22549,,Reduces synchronization or communication overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-05,AutoSGD,AutoSGD: Automatic Learning Rate Selection for Stochastic Gradient Descent,https://arxiv.org/abs/2505.21651,,Reduces manual learning-rate tuning without hand-designed learning-rate schedules.,APRIL-AIGC/Awesome-Optimizer
2025-05,AdamS,AdamS: Momentum Itself Can Be A Normalizer for LLM Pretraining and Post-training,https://arxiv.org/abs/2505.16363,,Speeds up optimization with refined momentum dynamics without maintaining full per-parameter state.,APRIL-AIGC/Awesome-Optimizer
2025-05,Adam-Power,GradPower: Powering Gradients for Faster Language Model Pre-Training,https://arxiv.org/abs/2505.24275,,Improves adaptive step-size control through revised second-moment estimation.,APRIL-AIGC/Awesome-Optimizer
2025-05,ADAGB2,Fast Stochastic Second-Order Adagrad for Nonconvex Bound-Constrained Optimization,https://arxiv.org/abs/2505.06374,,Combines complementary update strategies through projected adaptive updates.,APRIL-AIGC/Awesome-Optimizer
2025-05,AbsSADMM,Stochastic ADMM with batch size adaptation for nonconvex nonsmooth optimization,https://arxiv.org/abs/2505.06921,,Reduces synchronization overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-04,GeoDP-SGD,Analyzing and Optimizing Perturbation of DP-SGD Geometrically,https://arxiv.org/abs/2504.05618,,Improves exploration or robustness through injected noise under noisy gradients.,APRIL-AIGC/Awesome-Optimizer
2025-04,Dion,Dion: Distributed Orthonormalized Updates,https://arxiv.org/abs/2504.05295,https://github.com/microsoft/dion,Distributed orthonormalized updates that retain Muon-style gains while lowering large-scale training overhead.,curated
2025-04,BC-ADMM,BC-ADMM: An Efficient Non-convex Constrained Optimizer with Robotic Applications,https://arxiv.org/abs/2504.05465,,Improves optimization robustness and stability.,APRIL-AIGC/Awesome-Optimizer
2025-04,AlphaGrad,AlphaGrad: Non-Linear Gradient Normalization Optimizer,https://arxiv.org/abs/2504.16020,,Improves adaptive step-size control without maintaining full per-parameter state.,APRIL-AIGC/Awesome-Optimizer
2025-03,ZO2,ZO2: Scalable Zeroth-Order Fine-Tuning for Extremely Large Language Models with Limited GPU Memory,https://arxiv.org/abs/2503.12668,,Enables more efficient gradient-free optimization with lower memory overhead at inference time.,APRIL-AIGC/Awesome-Optimizer
2025-03,SPARTA,SPARTA: An Optimization Framework for Differentially Private Sparse Fine-Tuning,https://arxiv.org/abs/2503.12822,,Improves privacy-preserving training while accounting for privacy noise.,APRIL-AIGC/Awesome-Optimizer
2025-03,PAdamP,ADAPTIVE MOMENT ESTIMATION OPTIMIZATION ALGORITHM USING PROJECTION GRADIENT FOR DEEP LEARNING,https://arxiv.org/abs/2503.10005,,Combines complementary update strategies through projected adaptive updates.,APRIL-AIGC/Awesome-Optimizer
2025-03,FUSE-PV,FUSE: First-Order and Second-Order Unified SynthEsis in Stochastic Optimization,https://arxiv.org/abs/2503.04204,,Uses preconditioning or curvature structure to improve convergence through stochastic quasi-Newton updates.,APRIL-AIGC/Awesome-Optimizer
2025-03,FedCET,Communication Efficient Federated Learning with Linear Convergence on Heterogeneous Data,https://arxiv.org/abs/2503.15804,,Improves optimization under federated heterogeneity and client drift.,APRIL-AIGC/Awesome-Optimizer
2025-03,DC-SGD,DC-SGD: Differentially Private SGD with Dynamic Clipping through Gradient Norm Distribution Estimation,https://arxiv.org/abs/2503.22988,,Improves privacy-preserving training.,APRIL-AIGC/Awesome-Optimizer
2025-03,AsyncSAM,ASYNCHRONOUS SHARPNESS-AWARE MINIMIZATION FOR FAST AND ACCURATE DEEP LEARNING,https://arxiv.org/abs/2503.11147,,Brings SAM-style generalization gains to asynchronous training through SAM-style updates.,APRIL-AIGC/Awesome-Optimizer
2025-03,ASGO,ASGO: Adaptive Structured Gradient Optimization,https://arxiv.org/abs/2503.20762,,Uses preconditioning or curvature structure to improve convergence.,APRIL-AIGC/Awesome-Optimizer
2025-03,ADEF,Accelerated Distributed Optimization with Compression and Error Feedback,https://arxiv.org/abs/2503.08427,,Reduces synchronization or communication overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-02,Stable-SPAM,Stable-SPAM: How to Train in 4-Bit More Stably than 16-Bit Adam,https://arxiv.org/abs/2502.17055,,Supports lower-cost low-precision or bandwidth-constrained training with layer-wise normalized updates.,APRIL-AIGC/Awesome-Optimizer
2025-02,Scion,Training Deep Learning Models with Norm-Constrained LMOs,https://arxiv.org/abs/2502.07529,https://github.com/LIONS-EPFL/scion,"Norm-constrained LMO updates improve stability, memory efficiency, and hyperparameter transfer across model sizes.",curated
2025-02,SASSHA,SASSHA: Sharpness-aware Adaptive Second-order Optimization with Stable Hessian Approximation,https://arxiv.org/abs/2502.18153,,Targets flatter solutions and stronger generalization through diagonal Hessian estimates.,APRIL-AIGC/Awesome-Optimizer
2025-02,RACS,Towards Efficient Optimizer Design for LLM via Structured Fisher Approximation with a Low-Rank Extension,https://arxiv.org/abs/2502.07752,,Uses preconditioning or curvature structure to improve convergence through Fisher-based preconditioning.,APRIL-AIGC/Awesome-Optimizer
2025-02,R-AdaZO,Refining Adaptive Zeroth-Order Optimization at Ease,https://arxiv.org/abs/2502.01014,,Enables more efficient gradient-free optimization with adaptive momentum updates.,APRIL-AIGC/Awesome-Optimizer
2025-02,QuZO,QuZO: Quantized Zeroth-Order Fine-Tuning for Large Language Models,https://arxiv.org/abs/2502.12346,,Enables more efficient gradient-free optimization with quantized gradient-free updates.,APRIL-AIGC/Awesome-Optimizer
2025-02,OCAR,Online Curvature-Aware Replay: Leveraging 2nd Order Information for Online Continual Learning,https://arxiv.org/abs/2502.01866,,Uses preconditioning or curvature structure to improve convergence through Fisher-based preconditioning.,APRIL-AIGC/Awesome-Optimizer
2025-02,MaZO,MaZO: Masked Zeroth-Order Optimization for Multi-Task Fine-Tuning of Large Language Models,https://arxiv.org/abs/2502.11513,,Enables more efficient gradient-free optimization by querying only a sparse parameter subset.,APRIL-AIGC/Awesome-Optimizer
2025-02,LORENZA,LORENZA: Enhancing Generalization in Low-Rank Gradient LLM Training and Fine-Tuning via Efficient Zeroth-Order Adaptive SAM Optimization,https://arxiv.org/abs/2502.19571,,Enables more efficient gradient-free optimization with adaptive momentum updates.,APRIL-AIGC/Awesome-Optimizer
2025-02,Interleaved-ShuffleG,The Cost of Shuffling in Private Gradient Based Optimization,https://arxiv.org/abs/2502.03652,,Reduces synchronization or communication overhead in distributed training with a stronger privacy-utility trade-off.,APRIL-AIGC/Awesome-Optimizer
2025-02,Hessian-aware Scaling,First-ish Order Methods: Hessian-aware Scalings of Gradient Descent,https://arxiv.org/abs/2502.03701,,Uses preconditioning or curvature structure to improve convergence.,APRIL-AIGC/Awesome-Optimizer
2025-02,FAdamGC,Gradient Correction in Federated Learning with Adaptive Optimization,https://arxiv.org/abs/2502.02727,,Improves optimization under federated heterogeneity and client drift.,APRIL-AIGC/Awesome-Optimizer
2025-02,eagle,EAGLE: EARLY APPROXIMATED-GRADIENT-BASED LEARNING RATE ESTIMATOR,https://arxiv.org/abs/2502.01036,,Improves adaptive step-size control with adaptive momentum updates.,APRIL-AIGC/Awesome-Optimizer
2025-02,DPZV,DPZV: Elevating the Tradeoff between Privacy and Utility in Zeroth-Order Vertical Federated Learning,https://arxiv.org/abs/2502.20565,,Improves optimization under federated heterogeneity and client drift under noisy gradients.,APRIL-AIGC/Awesome-Optimizer
2025-02,DiZO,"Harmony in Divergence: Towards Fast, Accurate, and Memory-efficient Zeroth-order LLM Fine-tuning",https://arxiv.org/abs/2502.03304,,Reduces optimizer-state or training memory overhead for large language model training.,APRIL-AIGC/Awesome-Optimizer
2025-02,D-Muon,Muon is Scalable for LLM Training,https://arxiv.org/abs/2502.16982,https://github.com/MoonshotAI/Moonlight,Scales Muon-style orthogonalized updates to distributed LLM training and reports strong compute-efficiency gains over AdamW.,curated
2025-02,Coupled Adam,Better Embeddings with Coupled Adam,https://arxiv.org/abs/2502.08441,,Improves adaptive step-size control with layer-wise adaptive scaling.,APRIL-AIGC/Awesome-Optimizer
2025-02,AdaGC,AdaGC: Improving Training Stability for Large Language Model Pretraining,https://arxiv.org/abs/2502.11034,,Improves optimization robustness and stability under noisy gradients.,APRIL-AIGC/Awesome-Optimizer
2025-02,Adadiag,Improving Adaptive Moment Optimization viaPreconditioner Diagonalization,https://arxiv.org/abs/2502.07488,,Uses preconditioning or curvature structure to improve convergence through projected adaptive updates.,APRIL-AIGC/Awesome-Optimizer
2025-01,ZOQO,ZOQO: Zero-Order Quantized Optimization,https://arxiv.org/abs/2501.06736,,Supports lower-cost low-precision or bandwidth-constrained training with quantized gradient-free updates.,APRIL-AIGC/Awesome-Optimizer
2025-01,TeZO,TeZO: Empowering the Low-Rankness on the Temporal Dimension in the Zeroth-Order Optimization for Fine-tuning LLMs,https://arxiv.org/abs/2501.19057,,Enables more efficient gradient-free optimization for large language model training.,APRIL-AIGC/Awesome-Optimizer
2025-01,SPAM,SPAM: SPIKE-AWARE ADAM WITH MOMENTUM RESET FOR STABLE LLM TRAINING,https://arxiv.org/abs/2501.06842,,Speeds up optimization with refined momentum dynamics through element-wise gradient scaling.,APRIL-AIGC/Awesome-Optimizer
2025-01,SGDO,Overshoot: Taking advantage of future gradients in momentum-based stochastic optimization,https://arxiv.org/abs/2501.09556,,Uses overshoot-style momentum to exploit future-gradient information and accelerate convergence.,APRIL-AIGC/Awesome-Optimizer
2025-01,LT-ADMM,Communication-Efficient Stochastic Distributed Learning,https://arxiv.org/abs/2501.13516,,Reduces synchronization or communication overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-01,HybridSGD,"Communication-Efficient, 2D Parallel Stochastic Gradient Descent for Distributed-Memory Optimization",https://arxiv.org/abs/2501.07526,,Reduces synchronization or communication overhead in distributed training.,APRIL-AIGC/Awesome-Optimizer
2025-01,GWT,Wavelet Meets Adam: Compressing Gradients for Memory-Efficient Training,https://arxiv.org/abs/2501.07237,,Reduces optimizer-state or training memory overhead.,APRIL-AIGC/Awesome-Optimizer
2025-01,GCSAM,GCSAM: Gradient Centralized Sharpness Aware Minimization,https://arxiv.org/abs/2501.11584,,Targets flatter solutions and stronger generalization.,APRIL-AIGC/Awesome-Optimizer
2025-01,ELASTICZO,ELASTICZO: A MEMORY-EFFICIENT ON-DEVICE LEARNING WITH COMBINED ZEROTH- AND FIRST-ORDER OPTIMIZATION,https://arxiv.org/abs/2501.04287,,Reduces optimizer-state or training memory overhead.,APRIL-AIGC/Awesome-Optimizer
2024-12,SWAN,SWAN: SGD WITH NORMALIZATION AND WHITENING ENABLES STATELESS LLM TRAINING,https://arxiv.org/abs/2412.13148,,Uses preconditioning or curvature structure to improve convergence through structured or orthogonalized updates.,APRIL-AIGC/Awesome-Optimizer
2024-12,SGD-SaI,No More Adam: Learning Rate Scaling at Initialization is All You Need,https://arxiv.org/abs/2412.11768,,Improves adaptive step-size control by adapting updates to parameter characteristics.,APRIL-AIGC/Awesome-Optimizer
2024-12,Muon,Muon: An optimizer for the hidden layers of neural networks,https://kellerjordan.github.io/posts/muon/,https://github.com/KellerJordan/Muon,Uses orthogonalized matrix updates for hidden-layer weights and is commonly paired with AdamW for embeddings and heads.,curated
2024-12,MIAdam,A Method for Enhancing Generalization of Adam by Multiple Integrations,https://arxiv.org/abs/2412.12473,,Targets better generalization through curvature-aware landscape exploration.,APRIL-AIGC/Awesome-Optimizer
2024-12,Grams,Grams: Gradient Descent with Adaptive Momentum Scaling,https://arxiv.org/abs/2412.17107,,Speeds up optimization with refined momentum dynamics across multiple optimization objectives.,APRIL-AIGC/Awesome-Optimizer
2024-12,FedSTaS,FedSTaS: Client Stratification and Client Level Sampling for Efficient Federated Learning,https://arxiv.org/abs/2412.14226,,Improves optimization under federated heterogeneity and client drift.,APRIL-AIGC/Awesome-Optimizer
2024-12,EXADAM,EXADAM: THE POWER OF ADAPTIVE CROSS-MOMENTS,https://arxiv.org/abs/2412.20302,,Improves adaptive step-size control through a hybrid adaptive update rule.,APRIL-AIGC/Awesome-Optimizer
2024-12,apollo,"APOLLO:SGD-LIKE MEMORY, ADAMW-LEVEL PERFORMANCE",https://arxiv.org/abs/2412.05270,,Improves adaptive step-size control through a hybrid adaptive update rule.,APRIL-AIGC/Awesome-Optimizer
2024-12,Adam-Real,Adam on Local Time: Addressing Nonstationarity in RL with Relative Adam Timesteps,https://arxiv.org/abs/2412.17113,,Speeds up optimization with refined momentum dynamics.,APRIL-AIGC/Awesome-Optimizer
2024-12,Adam++,Towards Simple and Provable Parameter-Free Adaptive Gradient Methods,https://arxiv.org/abs/2412.19444,,Improves adaptive step-size control without hand-designed learning-rate schedules.,APRIL-AIGC/Awesome-Optimizer
2024-11,MARS,MARS: Unleashing the Power of Variance Reduction for Training Large Models,https://arxiv.org/abs/2411.10438,https://github.com/AGI-Arena/MARS,"Injects variance reduction into AdamW-, Lion-, and Shampoo-style updates and reports clear GPT-2 training gains.",curated
2024-11,FSGDM,ON THE PERFORMANCE ANALYSIS OF MOMENTUM METHOD: A FREQUENCY DOMAIN PERSPECTIVE,https://arxiv.org/abs/2411.19671,,Speeds up optimization with refined momentum dynamics.,APRIL-AIGC/Awesome-Optimizer
2024-11,FedIvon,Federated Learning with Uncertainty and Personalization via Efficient Second-order Optimization,https://arxiv.org/abs/2411.18385,,Improves optimization under federated heterogeneity and client drift.,APRIL-AIGC/Awesome-Optimizer
2024-11,Cautious Optimizers,Cautious Optimizers: Improving Training with One Line of Code,https://arxiv.org/abs/2411.16085,https://github.com/kyleliang919/C-Optim,"A one-line cautious mask that can make AdamW-, Lion-, and momentum-style optimizers more stable and robust.",curated
2024-11,CAdam,CAdam: Confidence-Based Optimization for Online Learning,https://arxiv.org/abs/2411.19647,,Combines complementary update strategies across multiple optimization objectives.,APRIL-AIGC/Awesome-Optimizer
2024-11,AGS-GD,Anisotropic Gaussian Smoothing for Gradient-based Optimization,https://arxiv.org/abs/2411.11747,,Combines complementary update strategies through automatically discovered update rules.,APRIL-AIGC/Awesome-Optimizer
2024-11,ADOPT,ADOPT: Modified Adam Can Converge with Any β2 with the Optimal Rate,https://arxiv.org/abs/2411.02853,https://github.com/iShohei220/adopt,A drop-in Adam-family variant with stronger convergence guarantees and improved practical stability.,curated
2024-11,A-GNB,HELENE: HESSIAN LAYER-WISE CLIPPING AND GRADIENT ANNEALING FOR ACCELERATING FINETUNING LLM WITH ZEROTH-ORDER OPTIMIZATION,https://arxiv.org/abs/2411.10696,,Enables more efficient gradient-free optimization for large language model training.,APRIL-AIGC/Awesome-Optimizer
2024-10,SuZero,Zeroth-Order Fine-Tuning of LLMs in Random Subspaces,https://arxiv.org/abs/2410.08989,,Enables more efficient gradient-free optimization for large language model training.,APRIL-AIGC/Awesome-Optimizer
2024-10,SOAA,EFFICIENT SECOND-ORDER NEURAL NETWORK OPTIMIZATION VIA ADAPTIVE TRUST REGION METHODS,https://arxiv.org/abs/2410.02293,,Uses preconditioning or curvature structure to improve convergence through Fisher-based preconditioning.,APRIL-AIGC/Awesome-Optimizer
2024-10,SAMPa,SAMPa: Sharpness-aware Minimization Parallelized,https://arxiv.org/abs/2410.10683,,Targets flatter solutions and stronger generalization through SAM-style updates.,APRIL-AIGC/Awesome-Optimizer
